RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,1
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,1
1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,2
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,2
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,2
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,3
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,3
1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,5
1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,5
1.51916,14.15,0,2.09,72.74,0,10.88,0,0,6
1.51969,14.56,0,0.56,73.48,0,11.22,0,0,6
1.51115,17.38,0,0.34,75.41,0,6.65,0,0,6
1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,7
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,7
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,7
